# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Bythocypris cancanaensis		828	Y	776792.0	Bythocypris cancanaensis (Bold, 1946)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris cancanaensis	Bold, 1946	Bold, W.A. (1946). Contribution to the study of Ostracoda with special reference to the Tertiary and Cretaceous microfauna of the Caribbean region. J. H. De Bussy (Ed.), Amsterdam, 167p.	
Bythocypris eskeri		660	Y	776809.0	Bythocypris eskeri (Bassiouni & Luger, 1990)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris eskeri 	Bassiouni & Luger, 1990	Bassiouni, M. A. A.; Luger, P. (1990). Maastrichtian to Early Eocene Ostracoda from southern Egypt. Palaeontology, palaeoecology, palaeobiogeography and biostratigraphy. Berliner Geowissenschaftliche Abhandlungen Reihe A Geologie und Palaeontologie No. 120 (2): 755-928.	
Bythocypris ghorbandti		661	Y	776823.0	Bythocypris gohrbandti (Esker, 1968)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris gohrbandti	Esker, 1968	Esker III, G. (1968). Danian ostracodes from Tunisia. Micropaleontology. 14(3):319-333.	Bythocypris gohrbandti or ghorbandti??
Bythocypris gibsonensis		780	Y_unaccepted_superseded combination	797435.0	Triangulocypris gibsonensis (Howe & Chambers, 1935)	Podocopida    	Paracyprididae 	Triangulocypris	Triangulocypris gibsonensis	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65. 	
Bythocypris maniaca		958	Y	776867.0	Bythocypris mianica (Tewari & Tandon, 1960)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris mianica	Tewari & Tandon, 1960	Tewari, B S; Tandon, K K. (1960). Kutch-microfauna - Lower Tertiary Ostracoda. Proceedings of the National Institute of Sciences of India Sec.B, 26 (4), 147-167	Bythocypris maniaca or Bythocypris mianica??
Bythocypris mereirensis		251	Y	776866.0	Bythocypris mereirensis (Cronin & Khalifa, 1980)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris mereirensis	Cronin & Khalifa, 1980	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411	
Bythocypris mianica		829	Y	776867.0	Bythocypris mianica (Tewari & Tandon, 1960)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris mianica	Tewari & Tandon, 1960	Tewari, B S; Tandon, K K. (1960). Kutch-microfauna - Lower Tertiary Ostracoda. Proceedings of the National Institute of Sciences of India Sec.B, 26 (4), 147-167	
Bythocypris sudaustralis		105	Y	599347.0	Bythocypris sudaustralis (McKenzie, Reyment & Reyment, 1991)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris sudaustralis	McKenzie, Reyment & Reyment, 1991	McKenzie, K. G.; Reyment, R. A.; Reyment, E. R. (1991). Eocene-Oligocene Ostracoda from South Australia and Victoria, Australia. Revista Espanola de Paleontologia. 6 (2): 135-175.	
Bythocythere sp.		947	Na_sp.									
Bythocytheremorpha pacific		948	Y	777034.0	Bythocytheremorpha pacifica (Hazel & Holden, 1971)	Podocopida    	Bythocytheridae	Bythocytheremorpha	Bythocytheremorpha pacifica	Hazel & Holden, 1971	Hazel, J E; Holden, J. (1971). Ostracoda of Late Eocene Age from Eua, Tonga. Discription and discussion of the paleoenvironmental significance of ostracodes from an upper Eocene locality on Eua, Tonga. U.S.Geological Survey Professional Paper, 640-D, 1-11	
Cardobairdia fulgens		379	N									
Cativella qurnenis		22/43/66	Y_unaccepted_new combination	800430.0	Costa qurnensis (Bassiouni, 1969)	Podocopida    	Trachyleberididae 	Costa	Costa qurnensis 	Bassiouni, 1969	Bassiouni, M.A. (1969a) Ostracoden aus dem Eozaen von aegypten. 1. Trachyleberidinae. Geologisches Jahrbuch 87, 383–462.	
Chejudocythere higashikawai		106	Y	462138.0	Chejudocythere higashikawai (Ishizaki, 1981)	Podocopida    	Paracytheridae	Chejudocythere 	Chejudocythere higashikawai 	Ishizaki, 1981	Lack of original description?	
Cletocythereis rastromarginata		107	Y	462569.0	Cletocythereis rastromarginata (Brady, 1880)	Podocopida    	Trachyleberididae 	Cletocythereis	Cletocythereis rastromarginata	Brady, 1880	Brady, G. S. (1880). Report on the Ostracoda dredged by H.M.S. Challenger during the Years 1873-1876. Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology. 1 (part 3): 1-184, pl. 1-45.	
Clinocythereis australis		108	Y	462571.0	Clinocythereis australis (Ayress & Swanson, 1991)	Podocopida    	Trachyleberididae 	Clinocythereis	Clinocythereis australis	Ayress & Swanson, 1991	Ayress, M.A. and Swanson, K.M. (1991a) New fossil and recent genera and species of cytheracean Ostracoda (Crustacea) from South Island, New Zealand. New Zealand Natural Sciences 18, 1–18.	
Clithrocytheridea caldwellensis		800/225	Y	777980.0	Clithrocytheridea caldwellensis (Howe & Chambers, 1935) Stephenson, 1946					Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	check the spelling in OR
Clithrocytheridea garretti		801/224/552	Y	777985.0	Clithrocytheridea garretti (Howe & Chambers, 1935) Stephenson, 1944	Podocopida    	Cytherideidae	Clithrocytheridea garretti 	Clithrocytheridea garretti 	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	check the spelling in OR
Clithrocytheridea grigsbyi		802/223	?									check the spelling in OR/ one of its subspecies is included in WOD, the corrected species name should be Actinocythereis grigsbyi
Clithrocytheridea shubutensis		803	Y	778028.0	Clithrocytheridea shubutensis (Stephenson, 1937) Krutak, 1961	Podocopida    	Cytherideidae 	Clithrocytheridea	Clithrocytheridea shubutensis	Stephenson, 1937	Stephenson, M.B. (1937a) Middle Tertiary Ostracoda of the genus Cytheridea. Journal of Paleontology 11, 145–159.	check the spelling in OR
Clithrocytheridea faboides gantensis		709	N									check the spelling in OR
Clithrocytheridea kauffmani		671	Y	777995.0	Clithrocytheridea kauffmani (Hazel, 1968) 	Podocopida    	Cytherideidae 	Clithrocytheridea	Clithrocytheridea kauffmani 	Hazel, 1968	Hazel, J.E. (1968). Ostracodes from the Brightseat Formation (Danian) of Maryland. Journal of Paleontology. 42:100-142.	misspelling?
Clithrocytheridea kosdensis 		710	N									
Clithrocytheridea malkinae		672	Y	778003.0	Clithrocytheridea malkinae (Schmidt, 1948)	Podocopida    	Cytherideidae 	Clithrocytheridea	Clithrocytheridea malkinae	Schmidt, 1948	Schmidt, R.A.M. (1948). Ostracodes from the Upper Cretaceous and Lower Eocene of Maryland, Delaware and Virginia. Journal of Paleontology. 22(4):389-431.	
Clithrocytheridea tarfaensis		941	Y	778031.0	Clithrocytheridea tarfaensis (Khalifa & Cronin, 1980)	Podocopida    	Cytherideidae 	Clithrocytheridea	Clithrocytheridea tarfaensis	Khalifa & Cronin, 1980	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411.	
Clithroeytheridea sp. 		711	Na_sp.									
Cluthia antiqua		109	Y	600600.0	Cluthia antiqua (Ayress & Drapala, 1996) 	Podocopida	Leptocytheridae	Cluthia 	Cluthia antiqua	Ayress & Drapala, 1996	Lack of original description?	
Copytus pseudoelongatus		110	Y	599644.0	Copytus pseudoelongatus (Ayress, 1995)	Podocopida	Neocytherideididae 	Copytus 	Copytus pseudoelongatus 	Ayress, 1995	Ayress, M. A. 1995. Late Eocene Ostracoda from the Waihao district, South Canterbury, New Zealand. Journal of Paleontology, 69, 897-921.	
Coquimba washingtonensis		439	N									
Costa angustatissima praecursor 		518	N  									
Costa bassiounii		257	Y_unaccepted_superseded original combination	794807.0	Reymenticosta bassiounii (Cronin & Khalifa, 1980) Honigstein & Rosenfeld, 1991	Podocopida	Trachyleberididae	Reymenticosta	Reymenticosta bassiounii	Cronin & Khalifa, 1980	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411.	
Costa capsella 		929	N									
Costa matsumarui		468	N									
Costa nilensis		256	Y	778434.0	Costa nilensis (Cronin & Khalifa, 1980)	Podocopida	Trachyleberididae	Costa	Costa nilensis	Cronin & Khalifa, 1980	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411	
Costa praetricosta		255	Y	778439.0	Costa praetricostata (Bassiouni, 1969)	Podocopida	Trachyleberididae	Costa	Costa praetricostata	Bassiouni, 1969	Bassiouni, M.A. (1969a) Ostracoden aus dem Eozaen von aegypten. 1. Trachyleberidinae. Geologisches Jahrbuch 87, 383–462.	
Costa qurnensis		258	Y	778442.0	Costa qurnensis (Bassiouni, 1969)	Podocopida	Trachyleberididae	Costa	Costa qurnensis	Bassiouni, 1969	Bassiouni, M.A. (1969a) Ostracoden aus dem Eozaen von aegypten. 1. Trachyleberidinae. Geologisches Jahrbuch 87, 383–462.	
Costa tricostata		378	Y	778461.0	Costa (Cuneocosta) tricostata (Reuss, 1850) Ruggieri, 1992	Podocopida	Trachyleberididae	Costa	Costa tricostata 	Ruggieri, 1992	Reuss, A. E. (1850). Die fossilen Entomostraceen des oesterreichischen Tertiaerbeckens. Naturwissenschftliche Abhandlungen. 3: 41-92.	
Cuneocythere gibbosa		536	Y_alternative representation (new combination)	811632.0	Cuneocythere gibbosa (Lienenklaus, 1900)	Podocopida	Cuneocytheridae	Cuneocythere	Cuneocythere gibbosa	Lienenklaus, 1900	Lienenklaus, E. (1900). Die Tertiär-ostracoden des mittleren Norddeutschlands. Zeitschrift der Deutschen Geologischen Gesellschaft. 52(3):497-550.	No accepted name?
Cuneocythere sp.		837	Na_sp.									
Cushmanidea distincta		763	N									
Cushmanidea tewarii		831/889	Y	778901.0	Cushmanidea tewarii (Khosla, 1973)	Podocopida	Cushmanideidae	Cushmanidea	Cushmanidea tewarii	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	
Cyamocythereidea heizelensis		363	Y	778925.0	Cyamocytheridea heizelensis (Keij, 1957)	Podocopida	Cytheridae 	Cyamocytheridea 	Cyamocytheridea heizelensis	Keij, 1957	Keij, A.J. (1957). Eocene and Oligocene Ostracoda of Belgium. Institut Royal des Sciences Naturelles de Belgique—Mémoire. 136:1-210.	
Cyamocytheridea watervalleyensis		804	Y	778948.0	Cyamocytheridea watervalleyensis (Stephenson, 1937) Krutak, 1961	Podocopida	Cytheridae 	Cyamocytheridea 	Cyamocytheridea watervalleyensis	Stephenson, 1937	Stephenson, M.B. (1937a) Middle Tertiary Ostracoda of the genus Cytheridea. Journal of Paleontology 11, 145–159.	
Cyhteropteron midwayensis		306	Y									
Cythereis arcana 		730	N									
Cythereis bursilloides		214	Y	779548.0	Cythereis bursilloides (Stadnichenko, 1927)	Podocopida	Trachyleberididae	Cythereis 	Cythereis bursilloides	Stadnichenko, 1927	Stadnichenko, M. M. (1927). The Foraminifera and Ostracoda of the marine Yegua of the type-sections. Journal of Paleontology. 1: 221-243.	
Cythereis cancellosa		290	Y_unaccpeted_new combination	792609.0	Platycosta cancellosa (Alexander, 1934) Bold, 1970	Podocopida		Platycosta	Platycosta cancellosa	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Cythereis claibornensis		210	Y_unaccepted_superseded original combination	797285.0	Trachyleberis claibornensis (Gooch, 1939)	Podocopida	Trachyleberididae	Trachyleberis	Trachyleberis claibornensis	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588.	
Cythereis collei		218/231	Y_unaccepted_superseded combination	785139.0	Hermanites collei (Gooch, 1939)	Podocopida	Thaerocytheridae	Hermanites 	Hermanites collei	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588.	
Cythereis couleycreekensis		216	Y_unaccepted_superseded original combination	801739.0	Cythereis couleycreekensis (Gooch, 1939)	Podocopida	Trachyleberididae	Cythereis 	Cythereis couleycreekensis	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588.	
Cythereis elmana		557	Y	779601.0	Cythereis elmana (Stadnichenko, 1927)	Podocopida	Trachyleberididae	Cythereis 	Cythereis elmana	Stadnichenko, 1927	Stadnichenko, M. M. (1927). The Foraminifera and Ostracoda of the marine Yegua of the type-sections. Journal of Paleontology. 1: 221-243.	
Cythereis gosportensis		232	Y	779635.0	Cythereis gosportensis	Podocopida	Trachyleberididae	Cythereis 	Cythereis gosportensis	Blake, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	
Cythereis hilgardi		553	Y_unaccpeted_new combination	801847.0	Cythereis hilgardi 	Podocopida	Trachyleberididae	Cythereis 	Cythereis hilgardi	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	No accepted name?
Cythereis howei		211	Y	779654.0	Cythereis howei Gooch, 1939	Podocopida	Trachyleberididae	Cythereis 	Cythereis howei	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588.	
Cythereis leeana		213	Y	779694.0	Cythereis leeana (Stadnichenko, 1927)	Podocopida	Trachyleberididae	Cythereis 	Cythereis leeana	Stadnichenko, 1927	Stadnichenko, M. M. (1927). The Foraminifera and Ostracoda of the marine Yegua of the type-sections. Journal of Paleontology. 1: 221-243.	
Cythereis lemnicata		292	N									
Cythereis longicostata		233	Y_unaccepted_superseded original combination	801918.0	Cythereis longicostata (Blake, 1950)	Podocopida	Trachyleberididae	Cythereis 	Cythereis longicostata	Blake, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	No accepted name?
Cythereis midwayensis		287	N									
Cythereis milamensis		217	Y	779727.0	Cythereis milamensis (Gooch, 1939)	Podocopida	Trachyleberididae	Cythereis 	Cythereis milamensis	Gooch, 1939	"Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588. [details] Available for editors  PDF available [request]
"	
Cythereis montgomeryensis		554	Y_unaccepted_superseded combination	797339.0	Trachyleberis montgomeryensis (Howe & Chambers, 1935)	Podocopida	Trachyleberididae	Trachyleberis 	Trachyleberis montgomeryensis	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Cythereis mülleri		624	Y_unaccepted_new combination	801961.0	Cythereis muelleri (Mehes, 1908)	Podocopida	Trachyleberididae	Cythereis 	Cythereis muelleri	Mehes, 1908	Mehes, G. (1908). Beiträge zur Kenntnis der pliozänen Ostracoden Ungarns II. Die Darwinulidaeen und Cytheridaeen der unterpannoischen Stufe. Földtani Közlöny. 38 (7-10): 601-635.	No accepted name?
Cythereis prestwichiana		289	Y_unacceoted_superseded combination	802020.0	Trachyleberis prestwichiana (Jones & Sherborn, 1887)	Podocopida	Trachyleberididae	Trachyleberis 	Trachyleberis prestwichiana	Jones & Sherborn, 1887	Mehes, G. (1908). Beiträge zur Kenntnis der pliozänen Ostracoden Ungarns II. Die Darwinulidaeen und Cytheridaeen der unterpannoischen Stufe. Földtani Közlöny. 38 (7-10): 601-635.	
Cythereis reklawensis 		555	Y	779804.0	Cythereis reklawensis (Stephenson, 1944)	Podocopida	Trachyleberididae	Cythereis 	Cythereis reklawensis 	Stephenson, 1944	Stephenson, M. B. (1944). Ostracoda from the Reklaw Eocene of Bastrop County, Texas. Journal of Paleontology. 18: 448-454.	
Cythereis rukasi		219	Y_unaccepted_superseded original combination	797371.0	Trachyleberis rukasi (Gooch, 1939)	Podocopida	Trachyleberididae	Trachyleberis 	Trachyleberis rukasi 	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588.	
Cythereis russelli		556	Y	779820.0	Cythereis russelli (Howe & Garrett, 1934)	Podocopida	Trachyleberididae	Cythereis 	Cythereis russelli 	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	
Cythereis sculptilis		291	Y_unaceepted_superseded combination	792273.0	Phacorhabdotus sculptilis (Alexander, 1934)	Podocopida	Trachyleberididae	Phacorhabdotus	Phacorhabdotus sculptilis	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Cythereis spiniferrima			Y_unaccepted		Acanthocythereis spinoferrima							
Cythereis undosa		215	Y_unaccepted_superseded original combination	790398.0	Occultocythereis undosa (Gooch, 1939)	Podocopida	Trachyleberididae	Occultocythereis	Occultocythereis undosa 	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588. 	
Cythereis uptonensis		558	Y_unaccepted_superseded original combination	790399.0	Occultocythereis uptonensis (Stephenson, 1944)	Podocopida	Trachyleberididae	Occultocythereis 	Occultocythereis uptonensis	Stephenson, 1944	Stephenson, M. B. (1944). Ostracoda from the Reklaw Eocene of Bastrop County, Texas. Journal of Paleontology. 18: 448-454. 	
Cythereis washburni		559	Y_unaccepted_superseded original combination	772423.0	Acanthocythereis washburni (Stephenson, 1944)	Podocopida	Trachyleberididae	Acanthocythereis 	Acanthocythereis washburni	Stephenson, 1944	Stephenson, M. B. (1944). Ostracoda from the Reklaw Eocene of Bastrop County, Texas. Journal of Paleontology. 18: 448-454. 	
Cythereis winniana		212	Y_unaccepted_superseded combination	785232.0	Hermanites winniana (Gooch, 1939)	Podocopida	Thaerocytheridae	Hermanites 	Hermanites winniana 	Gooch, 1939	Gooch, D.D. (1939). Some Ostracoda of the Genus Cythereis from the Cook Mountain Eocene of Louisiana. Journal of Paleontology. 13: 580-588.	
Cytherelison sp.		111	Na_sp.									
Cytherella antheriformis		753	N									
Cytherella assamensis		750	N									
Cytherella barpatharensis		751	N									
Cytherella compressa		47/63/64/595/508	Y	779988.0	Cytherella compressa (Muenster, 1830)	Platycopida 	Cytherellidae 	Cytherella 	Cytherella compressa	Muenster, 1830	Münster, G. (1830). Über einige fossile Arten Cypris (Müller, Lamk.) und Cythere (Müller, Latreille, Desmarest). Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde. 1: 60-67.	
Cytherella concinna 		630	Y	779992.0	Cytherella concinna (Jones, Kirkby & Brady, 1884)	Platycopida 	Cytherellidae 	Cytherella 	Cytherella concinna	Jones, Kirkby & Brady, 1884	Jones, T. R.; Kirkby, J. W.; Brady, G. S. (1884a). A monograph of the British fossil bivalved Entomostraca from the Carboniferous Formations. Part I. No. 2. The Cypridinae and their allies. Monograph of the Palaeontographical Society London. 57–92.	
Cytherella consueta		372	Y	779997.0	Cytherella consueta (Deltel, 1963)	Platycopida 	Cytherellidae 	Cytherella 	Cytherella consueta 	Deltel, 1963	Deltel, B. (1963). Nouveau ostracodes de l'Éocène et de l'Oligocène de l'Aquitaine méridionale. Actes de la Société Linnéenne de Bordeaux, Tome C. 100:127-221.	
Cytherella deopanica		749	N									
Cytherella dixoni		205	N									
Cytherella dorsodepressa		6	N									
Cytherella elliptica		450/451/476	Y	780031.0	Cytherella elliptica (Brady, 1878)	Platycopida	Cytherellidae 	Cytherella 	Cytherella elliptica	Brady, 1878	Brady, G. S. (1878). A monograph of the Ostracoda of the Antwerp Crag. Transactions of the Zoological Society of London. 10: 379-409.	
Cytherella eocaenica		631	N									Misspelling Cytheretta eocaenica?
Cytherella excavata		275	Y_unaccepted_new combination	789601.0	Morrowina excavata (Alexander, 1934) 			Morrowina	Morrowina excavata	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237	
Cytherella hastata		752	N									
Cytherella hemipuncta		113	Y	459896.0	Cytherella hemipuncta (Swanson, 1969)	Platycopida	Cytherellidae 	Cytherella 	Cytherella hemipuncta 	Swanson, 1969	Swanson, K. M. (1969). Some Lower Miocene Ostracoda from the Middle Waipara District, New Zealand. Transactions and Proceedings of the Royal Society of New Zealand. 7: 33-48.	
Cytherella kimensis		388	N									
Cytherella lagenalis		651	Y	780132.0	Cytherella lagenalis (Marliere, 1958)	Platycopida	Cytherellidae 	Cytherella 	Cytherella lagenalis	Marliere, 1958	Marlière, R. (1958). Ostracodes du Montien de Mons et résultats de leur étude. Mémoires de la Société Belge de Géologie, de Paléontologie et d'Hydrologie. 8: 1-53, 6 plates. 	
Cytherella lakhpatensis		715/891	Y	780133.0	Cytherella lakhpatensis (Khosla & Pant, 1988)	Platycopida	Cytherellidae 	Cytherella 	Cytherella lakhpatensis 	Khosla & Pant, 1988	Khosla, S. C.; Pant, P. C. (1988). Ostracoda from the Eocene and Oligocene beds of Kachchh, Gujarat, part 1 - families Cytherellidae, Bairdiidae and Trachyleberididae. Indian Journal of Earth Sciences. 15: 325-346.	
Cytherella laticosta		201	N									Misspelling Cytheretta  laticosta?
Cytherella meijeri		905	Y	780168.0	Cytherella meijeri (Esker, 1968)	Platycopida	Cytherellidae 	Cytherella 	Cytherella meijeri	Esker, 1968	Esker III, G. (1968). Danian ostracodes from Tunisia. Micropaleontology. 14(3):319-333.	
Cytherella munsteri		206	N									
Cytherella palanaensis		818	Y	780213.0	Cytherella palanaensis (Khosla, 1973)	Platycopida	Cytherellidae 	Cytherella 	Cytherella palanaensis	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	
Cytherella parallela		85	Y	780215.0	Cytherella parallela (Reuss, 1844)	Platycopida	Cytherellidae 	Cytherella 	Cytherella parallela	Reuss, 1844	Not documented	
Cytherella paranitida		112	Y	459917.0	Cytherella paranitida (Whatley & Downing, 1984)	Platycopida	Cytherellidae 	Cytherella 	Cytherella paranitida	Whatley & Downing, 1984	Whatley, R. C.; Downing, S. (1983). Middle Miocene Ostracoda from Victoria, Australia. Revista Espanola de Micropaleontologia. 15 (3), 347-407.	
Cytherella piacabucuensis		652/7_subspecies_Cytherella piacabucuensis farafraensis	Y	780227.0	Cytherella piacabucuensis (Neufville, 1973)	Platycopida	Cytherellidae 	Cytherella 	Cytherella piacabucuensis	Neufville, 1973	Neufville, E.M.H. (1973). Upper Cretaceous-Paleogene ostracods from the South Atlantic. Publications from the Palaeontological Institution of the University of Uppsala—Special Volume. 1:1-205.	
Cytherella protuberantia		960/819_miss spelling_Cytherella protuberantis 	N									
Cytherella sergipensis		653	N									
Cytherella sp.		220/441/548/755/779/821/247/312/902/248/313/903/314/904/387	Na_sp.									
Cytherella symmetrica 		276	Y	780306.0	Cytherella symmetrica (Jones, 1884)	Platycopida	Cytherellidae 	Cytherella 	Cytherella symmetrica	Jones, 1884	Jones, T. R. (1884). Notes on the Foraminifera and Ostracoda from the Deep Boring at Richmond. Quarterly Journal of the Geological Society. 40: 765-777.	
Cytherella tarabulusensis		31/46/69	N									
Cytherella tawaica		820	Y	780308.0	Cytherella tawaica (Tewari & Singh, 1967)	Platycopida	Cytherellidae 	Cytherella 	Cytherella tawaica	Tewari & Singh, 1967	Tewari, B S; Singh, P. (1967). Ostracoda from the Nummulitic Beds of Kalakot, Jammu and Kashmir State. Publications, Centre of advanced study in Geology, Panjab University, 3, 117-130	
Cytherella transversa		371	Y	780318.0	Cytherella transversa (Speyer, 1863)	Platycopida	Cytherellidae 	Cytherella 	Cytherella transversa	Speyer, 1863	Speyer, O. (1863). Die Ostracoden aus den Casseler Tertiärbildungen. Bericht des Vereins fuer Naturkunde zuk Cassel. 13: 1-62.	
Cytherella tuberculifera		277	Y	780321.0	Cytherella tuberculifera (Alexander, 1929) 	Platycopida	Cytherellidae 	Cytherella 	Cytherella tuberculifera	Alexander, 1929	Alexander, C.I. (1929). Ostracoda of the Cretaceous of North Texas. University of Texas Bulletin. 2907:1-137.	
Cytherella tumidosa		273	Y	780324.0	Cytherella tumidosa (Alexander, 1934)	Platycopida	Cytherellidae 	Cytherella 	Cytherella tumidosa	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Cytherella turgidula		274	Y	780326.0	Cytherella turgidula (Alexander, 1934)	Platycopida	Cytherellidae 	Cytherella 	Cytherella turgidula	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Cytherella ventroconcava		754	N									
Cytherelloidea attiyaensis		8	N									
Cytherelloidea cocoaensis		791	Y_unaccepted_superseded original combination	786224.0	Keijcyoidea cocoaensis (Krutak, 1961)	Platycopida     	Cytherellidae 	Keijcyoidea 	Keijcyoidea cocoaensis	Krutak, 1961	Krutak, P.R. (1961a) Jackson Eocene Ostracoda from the Cocoa Sand of Alabama. Journal of Paleontology 35, 769–788.	
Cytherelloidea cutchensis 		966	N									
Cytherelloidea dameracensis		370/597	Y	780492.0	Cytherelloidea dameriacensis (Apostolescu, 1955)	Platycopida     	Cytherellidae 	Cytherelloidea 	Cytherelloidea dameriacensis	Apostolescu, 1955	Apostolescu, V. (1955). Description de quelques ostracodes du Lutétien du Bassin de Paris. Cahiers Géologiques. 28-29:241-279.	Misspelling Cytherelloidea dameriacensis?
Cytherelloidea guhai		822	Y	780540.0	Cytherelloidea guhai (Khosla, 1973)	Platycopida     	Cytherellidae 	Cytherelloidea 	Cytherelloidea guhai	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	
Cytherelloidea hieroglyphica		596	N									
Cytherelloidea kharatarensis 		717	Y	780574.0	Cytherelloidea karnarensis (Honnappa & Abrar, 1984)	Platycopida     	Cytherellidae 	Cytherelloidea 	Cytherelloidea karnarensis	Honnappa & Abrar, 1984	Honnappa; Abrar, S. (1984). Ostracoda from the coastal sediments of Karwar and Bhatkal areas, Karnataka State, west coast of India. Proceedings of the Indian Colloquium on Micropalaeontology and Stratigraphy, 10, 483-500	Misspelling Cytherelloidea karnarensis?
Cytherelloidea montgomeryensis		790	Y_unaccepted_new combination	786228.0	Keijcyoidea montgomeryensis (Howe, 1934)	Platycopida     	Cytherellidae 	Cytherelloidea 	Keijcyoidea montgomeryensis	Howe, 1934	Howe, H. V (1934a) The ostracode genus Cytherelloidea in the Gulf Coast Tertiary. Journal of Paleontology 8, 29–34.	
Cytherelloidea ogasawaraensis		459	N									
