# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Arcacythere eocenia		93	Y	598932.0	Arcacythere eocenica (Whatley, Uffenorde, Harlow, Downing & Kesler, 1982)	Podocopida	Pectocytheridae 	Arcacythere 	Arcacythere eocenica 	Whatley, Uffenorde, Harlow, Downing & Kesler, 1982	Whatley, R.C., Uffenorde, H., Harlow, C., Downing, S. and Kesler, K. (1982a) The Rockalliidae, a new family of Cainozoic Cytheracean Ostracoda. Journal of Micropalaeontology 1, 1–11.	
Archicythereis howei		842	Y_unaccepted_new combination	799168.0	Archicythereis howei (Khosla, 1973)	Podocopida	Trachyleberididae 	Archicythereis	Archicythereis howei 	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	No accepted name?/The original description is 1972, yet the identifier is 1983?
Archicythereis yazooensis		805	Y	773727.0	Archicythereis yazooensis (Howe & Chambers, 1935)	Podocopida	Trachyleberididae 	Archicythereis 	Archicythereis yazooensis	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Argilloecia acuticaudata		94	Y	598968.0	Argilloecia acuticaudata (Whatley & Downing, 1984)	Podocopida	Pontocyprididae	Argilloecia 	Argilloecia acuticaudata	Whatley & Downing, 1984	Whatley, R. C.; Downing, S. (1983). Middle Miocene Ostracoda from Victoria, Australia. Revista Espanola de Micropaleontologia. 15 (3), 347-407.	
Argilloecia australomiocenica		95	Y	598969.0	Argilloecia australomiocenica (Whatley & Downing, 1983)	Podocopida	Pontocyprididae 	Argilloecia 	Argilloecia australomiocenica 	Whatley & Downing, 1983	Lack of original description?	
Argilloecia faba		278/664	N									
Argilloecia kritheformae		96	Y	598970.0	Argilloecia kritheformae (Whatley & Downing, 1984)	Podocopida	Pontocyprididae 	Argilloecia	Argilloecia kritheformae 	Whatley & Downing, 1984	Whatley, R. C.; Downing, S. (1983). Middle Miocene Ostracoda from Victoria, Australia. Revista Espanola de Micropaleontologia. 15 (3), 347-407.	
Argilloecia kussi		2	N									
Argilloecia mesa 		495	Y	773818.0	Argilloecia mesa (McKenzie, Reyment & Reyment, 1993)	Podocopida	Pontocyprididae 	Argilloecia	Argilloecia mesa	McKenzie, Reyment & Reyment, 1993	McKenzie, K. G.; Reyment, R. A.; Reyment, E. R. (1993). Eocene Ostracoda from the Brown Creek Clays at Browns Creek and Castle Cove, Victoria, Australia. Revista Española de Micropaleontologia. 8 (1), 75-116.	
Argilloecia sp.		393	Na_sp.									
Argilloecia subcylindrica		279	Y	773839.0	Argilloecia subcylindrica (Alexander, 1934)	Podocopida	Pontocyprididae	Argilloecia	Argilloecia subcylindrica	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Asymmetricythere asymmetrella		24/58	Y	773972.0	Asymmetricythere asymmetrella (Bassiouni, 1971)	Podocopida	Cytheridae	Asymmetricythere	Asymmetricythere asymmetrella 	Bassiouni, 1971	Bassiouni, M.A. (1971a) Ostracoden aus dem Eozaen von aegypten. 3. Die Unterfamilien Brachycytherinae und Buntoniinae. Geologisches Jahrbuch 89, 169–192.	
Asymmetricythere hiltermanni		60	Y	777394.0	Asymmetricythere hiltermanni (Bassiouni, 1971)	Podocopida	Cytheridae	Asymmetricythere 	Asymmetricythere hiltermanni	Bassiouni, 1971	Bassiouni, M.A. (1971a) Ostracoden aus dem Eozaen von aegypten. 3. Die Unterfamilien Brachycytherinae und Buntoniinae. Geologisches Jahrbuch 89, 169–192.	
Asymmetricythere yousefi		25/44/62/269	Y	773980.0	Asymmetricythere yousefi (Bassiouni, 1971)	Podocopida	Cytheridae	Asymmetricythere 	Asymmetricythere yousefi 	Bassiouni, 1971	Bassiouni, M.A. (1971a) Ostracoden aus dem Eozaen von aegypten. 3. Die Unterfamilien Brachycytherinae und Buntoniinae. Geologisches Jahrbuch 89, 169–192.	
