# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Occurrence records extracted from EMO occurrence_record.csv.
# ----------------------------------------------------------------------

ORID	Accepted Name	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Taxon name	Identifier	Synonym	Image	Type locality and horizon & Stratigraphical range	Description	Diagnosis	Remarks	Ecology	Dimensions(L*W*H)	Location	Sample site	Latitude(N>0)	Longitude(E>0)	Group	Formation	Member	Epoch	Epoch subdivision	Stage	Min Age (Ma)	Max Age (Ma)	Depositional Environment	Lithology	Specimen	Source File	Remarks.1
16											Phalcocythere horraensis	Bassiouni and Morsi, 2000		4,l							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
17											Pontocyprella recurva	Esker,1968		3,i							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
18											Reticulina proteros	Bassiouni, 1969		4,m-n							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
19											Xestoleberis kenawyi	Khalifa and Cronin, 1979		4,o-p							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
20											Xestoleberis tunisiensis	Esker,1968		4,q-r							Wadi Tarfa, North Eastern Desert, Egypt		28.4	32.3		Esna		Eocene	Late	Ypresian			inner shelf to upper bathyal	shale (major) and limestone (minor)		Samir et al_2025_Paleoenvironmental and paleobiogeographical significance of Paleocene-early Eocene ostracods in Wadi Tarfa, North Eastern Desert, Egypt.pdf	
21											Paracosta crassireticulata	Bassiouni		Plate 2, 1							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
22											Cativella qurnenis	Bassiouni		Plate 2, 2							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
23											Reticulina heluanensis	Bassiouni		Plate 2, 3							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
24											Asymmetricythere asymmetrella	Bassiouni		Plate 2, 4							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
25											Asymmetricythere yousefi	Bassiouni		Plate 2, 5							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
