# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Occurrence records extracted from EMO occurrence_record.csv.
# ----------------------------------------------------------------------

ORID	Accepted Name	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Taxon name	Identifier	Synonym	Image	Type locality and horizon & Stratigraphical range	Description	Diagnosis	Remarks	Ecology	Dimensions(L*W*H)	Location	Sample site	Latitude(N>0)	Longitude(E>0)	Group	Formation	Member	Epoch	Epoch subdivision	Stage	Min Age (Ma)	Max Age (Ma)	Depositional Environment	Lithology	Specimen	Source File	Remarks.1
334						Trachyleberididae			Stigmatocythere		Stigmatocythere lumaria morphotype A	Siddiqui, 1971	Stigmatocythere lumaria morphotype A, Siddiyui, 1971, pp 75 77 pi. 38, figs. 1-10, pi. 39, figs. 10-8, 11.	Plate 1, 11-12			Carapace subrectangular in lateral outline, dorsal margin straight, ventral margin slightly concave anteroventrally; anterior margin broadly rounded with numerous small denticles, posterior extremity more or less rounded. Eye tubercle distinct, subcentral tubercle bilobate, two ridges springing from eye tubercle, one to form high marginal rim, the other curving sharply round ro join subcentral tubercle. Surface ornamentation consists of a combination of reticultion and tubercles, with three tubercles in mid-dorsal region.	In the present material the specimens recorded are similar to Stigmatocythere lumaria morphotype A recorded by Siddiqui, 1971, from Upper Chocolate Clays (Upper part) from the Rakhi NaJa and Zao River sections of Pakistan.		0.64 to 0.70*0.30 to 0.35*0.35 to 0.38	Jaisalmer Basin, Rajasthan	Sadewala well B; Kharatar well C				Bandah		Eocene 	Late				warm, shallow inner shelf	glauconitic clays and 		Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf	
335						Trachyleberididae			Acanthocythereis 		Acanthocythereis decoris	Siddiqui, 1971	Trachyleberis (Acanthocythereis) decoris Siddiqui, 1971 pp. 60 61. pl.40, figs. 12-13, pi. 41 , figs. 1,3,4	Plate 1, 13			Sexual dimorphism pronounced, carapace elongate, subrectangular with dorsal and ventral margins almost straight and subparallel; anterior margin broad and evenly rounded; posterior margin subtriangular, ornamented by double row of short spines. Surface reticulate with superimposed pustules. Eye tubercle distinct, subcentral tubercle in distinct.	The present specimens recorded from the subsurface sequence of the Jaisalmer Basin are identical to Trachylebereis (Acanthocythereis) decoris described by Siddiqui (1971) from the Upper Chocolate Clays {Upper part) of the Rakhi NaJa sec tion of Pakistan.		0.55*0.25*0.30	Jaisalmer Basin, Rajasthan	Sadewala well A; Sadewala well B; Kharatar well C				Bandah		Eocene 	Late				warm, shallow inner shelf	glauconitic clays and 		Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf	
336						Xestoleberidae			Uroleberis		Uroleberis cf. U. armeniaca		cf. Uroleberis armeniaca Neale and Singh, 1985 p. 381, pl.46, figs. 7-9	Plate 1, 14		Carapace subovate in lateral outline and biconvex in dorsal view; anterior margin narrowly rounded, posterior margin broadly rounded with short caudal process near mid-height, dorsal margin strong ly arched, ventral margin convex. Valve surface den sely pitted, pits arranged in concentric pattern.		Except for the strongly convex ventral margin and concentric arrangement of pits, the present specimens from the Jaisalmer Basin are similar to Uroleberis armeniaca described by Neale and Singh (1985) from the Middle Eocene of Assam.		0.40*0.30*0.25	Jaisalmer Basin, Rajasthan	Sadewala well A; Sadewala well B				Bandah		Eocene 	Late				warm, shallow inner shelf	glauconitic clays and 	6.0	Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf	
337						Pontocypridae			Propontocypris		Propontocypris sp.			Plate 1, 15		Carapace subtriangular in lateral outline, with greatest height anterior to middle, right valve larger than left valve, overlapping distinctly along dorsal margin, dorsal margin angulilte, ventral margin nearly straight; anterior margin narrowly rounded, posteroventral angulate; in dorsal view carapace lan ceolate with maximum width anterior to middle.		The present species closely resembles P eocaenica Neale and Singh (1985) described from the Middle Eocene of Assam. However, P eocaenica is smaller in size with a distinct overlap along ventral margin.		0.65*0.35*0.40	Jaisalmer Basin, Rajasthan	Sadewala well A; Sadewala well B				Bandah		Eocene 	Late				warm, shallow inner shelf	glauconitic clays and 	8.0	Bhandari_1991_Late Eocene Ostracoda from the Jaisalmer Basin, Rajasthan.pdf	In paper (Plate 1-11-15) should be (Plate 1-15)
338											Cytheretta auriculata					Shape: The carapace is globular, elongated, spindle‑shaped when viewed laterally. In profile, it is almond‑shaped and fairly thin. The two valves are considered separately. Left valve: The dorsal and ventral borders are subparallel; the dorsal border is slightly arched. The anterior end, regularly rounded on the ventral side, bends sharply upward toward the dorsal border; the posterior end, serrated or not, is somewhat cut off, slanting downward toward the dorsal border. This valve, always shorter, wider, and more enveloping than the right valve, gives the individuals their globular appearance. Right valve: It is always longer and flatter than the left valve. The dorsal and ventral borders are straight and parallel. The anterior and posterior ends are narrow and rounded; a few protrusions are present at the posterior extremity. The cardinal angles are not very pronounced. Ornamentation: It is very variable depending on the specimens: some individuals are covered with very fine punctation, giving them a smooth appearance; others are strongly punctate (Pl. 1, fig. 8); the ornamentation may sometimes consist of agglomerated pits clustered at the anterior and posterior extremities and along the dorsal margin, with the ventral side lacking them; in still other individuals, the entire surface is punctate (Pl. 1, fig. 9), but the punctations are scattered and irregular: fine in the antero‑ventral region and much larger in the postero‑dorsal region.	Cytheretta auriculata seems related to Cytheretta simplex Moyes; however, in the latter, the dorsal and ventral margins are clearly parallel, while the general appearance of Cytheretta auriculata is essentially globular.			0.64*0.38*0.16(holotype); 0.65 to 0.75*0.34 to 0.38*0.15 to 0.18(paratype)		Camphon; Bois-Gouët						Eocene		Lutetian				sand	313.0	Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf	In Franch
339									Cytheridea		Cytheridea atlantic 	Blondeau, 1972		Pl 2, figs 1-3		Shape: The outline is sub‑trapezoidal, with a very rounded anterior end. The posterior end is much more tapered and even displaced toward the ventral margin. The cardinal angles are not distinguishable in the convexity of the dorsal margin. A slight concavity can be observed on the ventral margin in the posterior third of the length. Ornamentation: Three large, low, rounded ridges run along almost the entire periphery of the valve. At mid‑length, a slightly marked transverse furrow crosses the valve, very finely punctate. Internal characters: They are typical of the genus; the marginal zone is well developed, with numerous straight pore canals, most often grouped in twos or threes. Sexual dimorphism: It is very weakly expressed.	Cytheretta atlantica n. sp. appears closest to Cytheridea intermedia Reuss; however, it is less arched and more finely punctate.			0.47*0.25*0.11(holotype); 0.48 to 0.52*0.25 to 0.28*0.10 to 0.15(paratype)		Camphon						Eocene		Lutetian				sandy limestone	567.0	Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf	In Franch
340											Cytheridea camphonensis	Blondeau, 1972		Pl 3, figs 4, 5		Shape: Viewed laterally, the carapace displays a sub‑trapezoidal outline. The margins are nearly parallel. The anterior end curves obliquely toward the dorsal side; it bears about fifteen small denticulations on the ventral side. The posterior end, asymmetrical and dorsally truncated, curves regularly toward the ventral side. The dorsal margin is straight; the ventral margin shows a slight median concavity. The profile is oval. Ornamentation: The surface is ornamented with punctations, most often grouped in twos in concentric rows; they disappear in the anterior part. Low ridges (2 to 3), arranged between the rows of punctations, run along the anterior and ventral margins. A short transverse furrow, slightly marked, is individualized at the level of the muscle field. Internal characters: They are typical of the genus. The pores are of the cribrose type. Sexual dimorphism: very little apparent.	This species is close to Cytheridea atlantica n. sp. It differs from it by a more clearly trapezoidal outline and the presence of a transverse furrow. Nevertheless, the two species remain very similar.			0.54*0.25*0.14(holotype); 0.50 to 0.55*0.25 to 0.28*0.12 to 0.15(paratype)		Camphon						Eocene		Lutetian				sandy limestone	354.0	Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf	In Franch
341									Semicytherura		Semicytherura reticulata	Blondeau, 1972		Pl 2, figs 6-10		Shape: Semi‑globular, quadrangular, of small size. Anterior end slightly smaller, but well individualized; maximum height is reached in the posterior third, at the level of strong curvature near the ventral margin. The profile is rounded, pear‑shaped; the posterior vault is elevated in the posterior zone. A roughly elliptical projection gives the posterior extremity a pointed, leaf‑shaped appearance; the profile ends in a caudal process, well individualized. Ornamentation: A reticulation system with slightly loose mesh originates near the anterior border, in front of the muscle‑scar field. One ridge escapes obliquely and runs almost horizontally along the ventral margin; another, strongly curved, joins the posterior extremity while crossing the valve diagonally. The reticulation is tight and smooth in the posteroventral region; more open in the posterior region. Inside this network one can distinguish tubercles, forming a second network in the posterior half of the valve. The ocular tubercles are barely visible. Internal characters: They are typical of the genus. The muscle‑scar field is visible on the inner side, forming four imprints preceded by the reniform imprint. Between the dorsal border and the reniform imprint appear small traces that may be attributed to accessory muscle scars. Sexual dimorphism: Very slight. Two groups of individuals can, however, be distinguished:1. Larger, more globular specimens, showing a marked gibbosity in the posteroventral region.Anterior and posterior extremities are more curved. They measure: length: 0.32 to 0.37 mm, width: 0.18 to 0.21 mm, height: 0.09 to 0.12 mm. These may represent the males. 2. Other specimens are smaller, narrower, less gibbous. They measure: length: 0.28 to 0.31 mm, width: 0.16 to 0.18 mm, height: 0.08 to 0.10 mm. These may be the females.	Semicytherura reticulata n. sp. does not resemble any known form.			0.37*0.21*0.10(holotye); 0.28 to 0.37*0.16 to 0.20; 0.08 to 0.10(paratype)		Camphon						Eocene		Lutetian				sandy limestone	264.0	Blondeau_1972_Quelques nouvelles espèces d´Ostracodes Eocènes.pdf	In Franch
342											Evisceratocythere glabella	Apostolescu, 1961		Pl 1, figs 3-4							Northern part of Senegal 	Mérinaghène	15.92	-15.93				Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
343											Soudanella laciniosa	Apostolescu, 1961									Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
344											Buntonia sp.			Pl 1, fig 1							Northern part of Senegal 	Mérinaghène	15.92	-15.93				Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
345											Buntonia sp. 3	Carbonnel, 1986		Pl 1, fig 2							Northern part of Senegal 	Mérinaghène	15.92	-15.93				Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
346											Neomonoceratina sp.										Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
347											Buntonia aff. rimosa	Apostolescu, 1961									Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
348											Bythocypris aleo	Reyment, 1963									Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
349											Leguminocythereis senegalensis	Apostolescu, 1961									Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
350											Ruggieria gr. triangulata	Omatsola, 1972									Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
351											Xestoleberis sp.										Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
352											Trachyleberis sehouensis?	Apostolescu, 1961									Northern part of Senegal 							Eocene 	Early				marine or euryhaline	lignite		Carbonnel_1989_Les Ostracodes saumatres des lignites de l´Éocène inférieur au Sénégal.pdf	In Franch
353											Quadracythere cassidea	Reuss									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
354											Schuleridea perforata	Roemer									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late							Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
355											Cytheretta vulgaris	Ducasse									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
356											Pokornyella ventricosa	Bosquet									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
357											Pokornyella moyesi	Ducasse									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
358											Pokornyella aff. yaleata	Reuss									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late							Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
359											Pokornyella limbata	Bosquet									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late							Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
360											Pokornyella calix	Oertli									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late							Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
361											Hammatocythere oertlii	Ducasse									The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
362											Leguminocythereis div. sp.										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
363											Cyamocythereidea aff. heizelensis										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
364											Hirsutocythere horrescens										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
365											Schizocythere appendiculata										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
366											Schizocythere tessellata										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
367											Echinocythereis septentrionalis										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
368											Monsmirabilia triebeli										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
369											Paracytheridea grignonensis										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
370											Cytherelloidea dameracensis										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late				shallow, margino-littoral 			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
371											Cytherella transversa										The Northern Aquitaine Basin, France	middle part of the Medoc						Eocene	Late							Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
372											Cytherella consueta										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
373											Krithe div. sp.										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
374											Bairdia crebra										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
375											Protoargilloecia angulata										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
376											Henryhowella asperrima										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
377											Pontocyprella aturica.										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
378											Costa tricostata										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
379											Cardobairdia fulgens										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
380											Bairdia cymbula										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
381											Trachyleberidea prestwichiana										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
382											Agrenocythere ordinata										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
383											Cytheropteron div. sp.										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
384											Poseidonamicus sp.										The Northern Aquitaine Basin, France	numerous sites localised in the central part and the southern portion of the Aquitaine Basin and in the Gascogne Gulf						Eocene	Late				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
385											Bradleya sp.										The Northern Aquitaine Basin, France	sites in the Gascogne Gulf and in the Rockall Region						Eocene	Late/E-O boundary				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
386											Agrenocythere sp.										The Northern Aquitaine Basin, France	sites in the Gascogne Gulf and in the Rockall Region						Eocene	Late/E-O boundary				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
387											Cytherella div. sp.										The Northern Aquitaine Basin, France	sites in the Gascogne Gulf and in the Rockall Region						Eocene	Late/E-O boundary				deep environment			Ducasse_Peypouquet_1986_Ostracods at the Eocene-Oligocene boundary in the Aquitaine basin	No systematic paleontology/SEM, datas based on the context
388						Cytherellidae			Cytherella		Cytherella cf. kimensis	Bhandari, Singh and Rana, 2005		Fig. 2A, B				This species is very similar to Cytherella kimensis Bhandari, Singh & Rana, 2005, but the latter has a flat ‘belt’ along the anterior margin and stronger punctation. It is also similar to Cytherella hastata Neale & Singh, 1985, but the outline is slightly different (Cytherella hastata is more slender), and to Cytherella ahlmadoensis Bassiouni & Luger, 1996, but the carapace of our species is evenly covered by punctation, whereas C. ahlmadoensis lacks punctation in the central part of carapace.			Toliara, Madagascar	TOL4	-23.46	43.61				Eocene	Early-middle				shallow marine, cosatal environment	clay	16.0	Yasuharaetal2019_JSP_Madagascar_pub_w_SI. pdf	
389									Cytherelloidea		Cytherelloidea sp. 1			Fig. 2C				This species is similar to Cytherelloidea keiji McKenzie, 1967, but the latter has better developed ridges and polygonal reticulation.			Toliara, Madagascar	TOL4	-23.46	43.61				Eocene	Early-middle				shallow marine, cosatal environment	clay	1.0	Yasuharaetal2019_JSP_Madagascar_pub_w_SI. pdf	
390											Cytherelloidea sp. 2			Fig. 2D, E				This species is very similar to Cytherelloidea pandora (Kornicker, 1963) but is distinguished by havinga distinct vertical ridge along the posterior margin. It is also similar to Cytherella strangulata Ducasse, 1967 (for SEM image, see Ducasse et al. 1985), Cytherella pustulosa Keij, 1957 (for SEM image, see Guernet et al. 2012), Cytherelloidea venusta (Brady, 1880) (for SEM images of the lectotype and paralectotype specimens, see Titterton et al. 2001), and Cytherella dictyon Malz & Jellinek, 1989 but Cytherella strangulata, Cytherella pustulosa, Cytherelloidea venusta, and Cytherella dictyon have much more elongate polygonal fossae and posterior extremity dorsally.			Toliara, Madagascar	TOL4	-23.46	43.61				Eocene	Early-middle				shallow marine, cosatal environment	clay	2.0	Yasuharaetal2019_JSP_Madagascar_pub_w_SI. pdf	
391			Podocopida	Bairdiocopina	Bairdioidea	Bairdiidae			Bairdoppilata		Bairdoppilata ilaroensis s. l.	Reyment and Reyment, 1959	1959 Bairdia ilaroensis Reyment & Reyment: 61, pl. 1, figs 1–7, text-figs 1a, b, 3a–n, 5a–h; 1981 Bairdia ilaroensis Reyment & Reyment; Reyment: 56, pl. 9, figs 6, 7; 1983 Bairdoppilata ilaroensis (Reyment & Reyment); Foster, Swain, & Petters: 109, pl. 1, figs 5, 7–11; 1987 Bairdia ilaroensis Reyment & Reyment; Okosun:26, pl. 20, figs 7, 9–10.; 1990 Bairdia ilaroensis Reyment & Reyment; Bassiouni & Luger: 780, pl. 1, fig. 15.; 1990 Bairdoppilata ilaroensis (Reyment & Reyment); Carbonnel, Alzouma, & Dikouma: 674, pl. 1, fig. 19. non 1991 Bairdoppilata ilaroensis (Reyment & Reyment); Carbonnel & Oyede: 5, pl. 1, fig. 1.; 1991 Bairdia amygdaloides (Brady) oblongata van den Bold; Ahmad, Neale, & Siddiqui: 187, pl. 3, fig. 12 (?non pl. 4, figs 1–3).; non 1992 Bairdia ilaroensis Reyment & Reyment; Ismail: 45, pl. 1, fig. 5. 1992 Bairdia ilaroensis Reyment & Reyment; El-Waer: 47, pl. 4, figs 4–9.; 1994 Bairdia gr. ilaroensis Reyment & Reyment; Keen, Al-Sheikly, Elsogher, & Gammudi: pl. 16.1, fig. 5.; 1996 Bairdia ilaroensis Reyment & Reyment; Bassiouni & Luger: 8, pl. 1, figs 10–13.;1996 Bairdia sp aff. Bairdia ilaroensis Reyment & Reyment; El Sogher: 295, pl. 4, figs 1–5.; 1998 Bairdoppilata ilaroensis (Reyment & Reyment); Colin, Tambareau, & Krasheninnikov: 291, pl. 1, figs 4, 5.;?2000 Bairdia ilaroensis Reyment & Reyment; Shahin:292, fig. 4.15.; 2003 Bairdia ilaroensis Reyment & Reyment; Morsi & Speijer: 70, pl. 1, fig. 5.; non 2005 Bairdia ilaroensis Reyment & Reyment; Ismail & Ied: 123, pl. 1, figs 15, 16.; non 2005 Bairdia ilaroensis Reyment & Reyment; Shahin: 755, pl. 1, figs 14, 15.; 2008 Bairdia ilaroensis Reyment & Reyment; Morsi, Faris, Zalat, & Salem: 165, pl. 1, figs 11, 13, 14.; ?2008 Bairdia ilaroensis Reyment & Reyment; Shahin, El Halaby, & El Baz: 129, pl. 1, fig. 11.	Fig. 2F-H				Bairdoppilata ilaroensis (Reyment & Reyment, 1959) was originally described from the Paleocene of Nigeria, and has been widely reported from African and Arabian regions (Bassiouni & Luger 1996). Our specimens look conspecific with two paratype specimens of Bairdoppilata ilaroensis shown in plate 1, figure 1a, b of the original description; however, the holotype looks slightly different from these paratypes in outline, being more slender (Reyment & Reyment 1959). We tentatively consider that this difference is due to sexual dimorphism. Bairdoppilata ilaroensis is similar to Bairdoppilata poddari Lubimova & Mohan in Lubimova, Guha & Mohan, 1960 reported from the Early Eocene of India (for SEM images and synonymy, see Bhandari 1996) and Bairdoppilata gliberti Keij, 1957 reported from the Middle Eocene of Belgium and France, but it is distinguished by the straight (instead of concave) dorsal half of the anterior margin. The synonym list is modified after Bassiouni & Luger (1996), Morsi et al. (2008), and Shahin et al. (2008), in which there is certain variation in outline (e.g. concave/straight dorsal half of the anterior margin) and surface ornamentation (smooth or punctate). Thus, we call our material Bairdoppilata ilaroensis sensulato, which may include the above-mentioned species from India and Europe. Indeed, Bairdoppilata gliberti [as Bairdia (Bairdoppilata) glibarti] reported in Ducasse et al. (1985, pl. 72, figs 7, 8) looks conspecific with our species. The synonymy between Bairdoppilata ilaroensis and Bairdoppilata gliberti should be carefully considered by investigating specimens from the type locality using SEM given that both species were described before SEM, was available. One of our specimens (Fig. 2F) is probably a juvenile (A-1) showing a more rounded outline compared to the adult specimen (Fig. 2G, H).			Toliara, Madagascar	TOL4	-23.46	43.61				Eocene	Early-middle				shallow marine, cosatal environment	clay	13.0	Yasuharaetal2019_JSP_Madagascar_pub_w_SI. pdf	
