# Eocene Marine Ostracod Database (EMO)
# ------------------------------------------------------------
# World Data Service for Paleoclimatology, Boulder
# and NOAA Paleoclimatology Program
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# ------------------------------------------------------------
# Online_Resource: https://github.com/nekoangel118/EMO-Database
# Description: EMO Database (tab-delimited data)
# Data_Type: Paleoceanography
# Dataset_DOI: [to be assigned]
# Parameter_Keywords: Taxonomy, Occurrence, Environment
# ------------------------------------------------------------
# Contribution_Date: 2026-04-25
# File_Last_Modified_Date: 2026-04-25
# ------------------------------------------------------------
# Title
# Study_Name: Eocene Marine Ostracod Database (EMO)
# ------------------------------------------------------------
# Investigators: Zhang, J.
# ------------------------------------------------------------
# Description
# The EMO database compiles Eocene marine ostracod taxonomy, occurrence records,
# and reference metadata from published literature spanning Early to Late Eocene localities worldwide.
# ------------------------------------------------------------
# Summary
# Total taxa: 743
# Total references: 43
# Geographic coverage: Fawley Tunnel, Hampshire, UK, Fayoum area, Egypt, Jaisalmer Basin, Rajasthan, Kerguelen Plateau, Indian Ocean, Little Stave Creek, Clarke County, Alabama, USA, Loire-Atlantque, France, Louisiana, Texas, Waihao district, south Canterbury, New Zealand...
# ------------------------------------------------------------
# Data_Table
# (tab-delimited columns from EMO CSVs)
Reference	Region	Age	Environment
Sheremeta_1971_Stratigraphic significance of the Upper Eocene and Oligocene ostracods.pdf	southern Ukraine	Late	Shallow
Stephenson_1938_Lower Eocene Ostracoda of the Genus Cytheridea from Alabama.pdf	Alabama, USA	Early	na
Stephenson_1942_Some Claiborne Eocene Ostracoda of the Genus Cytheridea from the Gulf Coast.pdf	Gulf coast, USA (Alabama, Louisiana, Texas, and in the state of Veracruz, Mexico.)	Middle	na
Stephenson_1944_Ostracoda from the Reklaw Eocene of Bastrop County, Texas.pdf	Bastrop County, Texas, US	Middle	Shallow_according to the lithology
Szczechura_1977_Ostracods from the Upper Eocene of East Poland.pdf	Siemień, Poland	Late_upper	Shallow_shallow water, epicontinental
Szczechura_2000_Ostracods from the Eocene of Seymour Island.pdf	Seymour Island, Antarctic Peninsula	na	Shallow_shallow water, high energy environment
Yamaguchi_2006_EoceneOstracodaSouthwestJapan.pdf	Southwestern Japan	Middle and Late	na
Yamaguchi_Goedert_2009_Early Eocene marine ostracods from the Crescent Formation.pdf	the Black Hills, southwestern Olympia, Washington, USA	Early	Shallow_subtidal to shelf environment
Yamaguchi_Kamiya_2007_Shallow-marine ostracode faunas around the Eocene-Oligocene boundary.pdf	the northwestern Kyushu, southwestern Japan	Middle and Late	Shallow
Yamaguchi_Kamiya_2009_Eocene ostracodes from Hahajima Island of the Ogasawara Islands.pdf	Ogasawara National Park, Hahajima Island of the Ogasawara(Bonin) Islands of the Izu-Mariana Arc, North Pacific Ocean	Middle and Late	"Shallow_benthic foraminifera from this sandstone indicate that
it was deposited at a depth of 50 m"
Yamaguchi_Kurita_2008EoceneOstracodaNorthJapan.pdf	Hokkaido, North Japan	Middle	na
Yamaguchi_Matsubara_Kamiya_2005_Eocene ostracodes from the Iwaya Formation on Awajishima Island 1.pdf	Awajishima Island, southwestern Japan	Middle and Late	Shallow marine_inner shelf
Yasuharaetal2019_JSP_Madagascar_pub_w_SI. pdf	Toliara, Madagascar	Early and Middle	shallow marine, cosatal environment
